B1,B2,B3,B4,B5,Zone
-90,0,0,0,0,14
0,0,0,0,-76,14
0,-69,0,0,0,14
0,-77,0,0,0,14
0,0,0,-64,0,14
0,0,-45,-76,0,14
0,0,0,0,-70,14
0,-77,0,0,0,14
0,0,-57,0,0,14
0,0,-62,0,0,14
0,0,0,-62,0,14
0,-69,0,0,-71,14
0,0,0,0,-70,14
0,0,-71,0,0,14
-82,-82,0,0,-79,14
-73,0,0,0,0,14
0,0,0,0,-77,14
0,-74,0,0,0,14
0,-77,0,0,-83,14
0,0,-73,-72,0,14
0,0,0,0,-67,14
0,0,0,0,-76,14
0,0,-71,0,0,14
-83,0,0,0,-79,14
0,0,-71,-71,0,14
-88,0,0,0,0,14
0,0,-71,-68,0,14
0,-71,0,0,-81,14
0,0,0,-70,0,14
0,0,0,0,-79,14
0,0,-61,-70,0,14
-79,0,0,0,0,14
0,0,-71,-45,0,14
0,-66,0,0,-76,14
-82,-69,0,0,-82,14
0,0,-68,-67,0,14
0,0,-62,-62,0,14
0,-71,0,0,0,14
-70,-66,0,0,-74,14
0,-72,0,0,0,14
0,0,-56,-72,0,14
-77,0,0,0,0,14
0,0,0,-69,0,14
0,0,-61,0,0,14
0,0,0,0,-83,14
0,-71,0,0,0,14
0,-72,0,0,0,14
0,0,-55,0,0,14
0,-69,0,0,0,14
0,0,-66,0,0,14
0,0,0,-65,0,14
0,0,0,0,-75,14
0,0,0,0,-77,14
0,0,-62,-64,0,14
0,0,0,-70,0,14
0,-74,0,0,0,14
0,0,0,-65,0,14
0,-74,0,0,-79,14
0,0,-65,-63,0,14
0,0,-60,-70,0,14
0,-81,0,0,-70,14
-85,0,0,0,-66,14
0,0,-66,0,0,14
0,-81,0,0,0,14
0,0,-64,0,0,14
0,0,-72,0,0,14
0,-65,0,0,0,14
-84,-69,0,0,0,14
-81,0,0,0,0,14
0,0,-63,-70,0,14
0,-68,0,0,0,14
-78,-71,0,0,-76,14
-79,0,0,0,-75,14
0,0,-64,-71,0,14
-82,0,0,0,0,14
0,0,-52,0,0,14
0,0,0,-68,0,14
0,-80,0,0,0,14
0,-75,0,0,-76,14
0,0,0,0,-71,14
0,0,-77,0,0,14
0,0,-67,0,0,14
0,-72,0,0,0,14
-83,0,0,0,-80,14
-91,0,0,0,0,14
0,0,0,-72,0,14
0,0,-62,-63,0,14
0,0,0,0,-74,14
0,-74,0,0,-68,14
-81,0,0,0,0,14
0,0,0,-61,0,14
-74,-72,0,0,0,14
-74,0,0,0,0,14
0,0,-81,-73,0,14
0,0,-72,0,0,14
0,-69,0,0,-69,14
0,0,0,-73,0,14
-72,0,0,0,0,14
0,0,0,-74,0,14
0,0,-57,-48,0,14
0,-70,0,0,0,14
0,0,0,0,-73,14
0,-82,0,0,0,14
-84,0,0,0,0,14
0,0,0,-67,0,14
0,0,-62,0,0,14
0,0,-64,0,0,14
0,0,0,0,-72,14
0,-75,0,0,0,14
0,0,0,0,-79,14
0,0,0,0,-71,14
0,0,-62,-65,0,14
0,0,0,-66,0,14
0,-82,0,0,0,14
0,0,0,0,-69,14
-89,0,0,0,0,14
0,0,-70,0,0,14
0,0,-64,0,0,14
0,0,-60,0,0,14
0,-76,0,0,0,14
0,-76,0,0,-80,14
-84,0,0,0,0,14
0,0,0,-74,0,14
-84,0,0,0,0,14
0,0,-63,-73,0,14
0,0,0,-71,0,14
0,-71,0,0,0,14
0,0,-60,0,0,14
-81,0,0,0,-82,14
-71,0,0,0,-78,14
0,0,-60,-72,0,14
0,0,0,-63,0,14
0,-79,0,0,0,14
-83,0,0,0,-67,14
0,0,0,-69,0,14
0,0,-61,0,0,14
0,0,-62,0,0,14
0,-77,-67,0,0,14
-76,0,0,0,-69,14
0,0,0,-68,0,14
0,0,-60,0,0,14
-80,0,0,0,-73,14
0,0,0,-63,0,14
0,0,-68,-64,0,14
0,0,0,-67,0,14
0,0,-56,0,0,14
0,-63,0,0,0,14
-86,-68,0,0,-77,14
0,0,0,-70,0,14
0,0,0,0,-81,14
0,0,-61,0,0,14
0,0,-57,0,0,14
0,0,-60,0,0,14
0,-65,0,0,0,14
0,-65,0,0,0,14
0,0,0,-73,0,14
0,0,-63,-71,0,14
0,0,-57,0,0,14
0,0,-71,0,0,14
0,-68,0,0,-75,14
0,0,0,0,-83,14
0,0,0,-68,0,14
0,0,-64,0,0,14
0,-77,0,0,0,14
0,0,0,0,-78,14
0,-71,0,0,0,14
0,-74,0,0,0,14
0,0,0,-71,0,14
0,0,-50,0,0,14
0,0,-61,0,0,14
0,-70,0,0,0,14
0,-76,0,0,-76,14
0,-74,0,0,-70,14
0,0,0,-63,0,14
0,0,0,0,-75,14
0,0,0,-64,0,14
0,0,-62,0,0,14
0,0,-61,0,0,14
-84,0,-66,0,0,14
0,0,0,0,-73,14
0,0,0,-67,0,14
0,0,0,0,-69,14
0,0,-61,0,0,14
0,-78,0,0,0,14
0,0,-65,0,0,14
0,0,0,0,-70,14
0,0,0,-62,0,14
0,0,0,-73,0,14
0,0,-64,0,0,14
0,-73,-48,0,0,14
0,0,-69,0,0,14
0,0,0,-64,0,14
-73,0,0,0,0,14
0,0,0,-71,0,14
0,0,-57,0,0,14
0,-66,-61,0,0,14
-80,-65,-37,0,-78,14
0,0,0,-67,0,14
0,-70,0,0,-83,14
0,0,0,-65,0,14
0,0,0,0,-82,14
0,0,0,-80,0,14
0,0,-52,0,0,14
0,-69,0,0,0,14
-75,0,-29,0,-74,14
0,0,0,0,-75,14
0,0,0,-67,0,14
0,0,0,-62,0,14
0,0,-64,0,0,14
-87,-73,-59,0,0,14
0,-73,0,0,-74,14
