B1,B2,B3,B4,B5,Zone
-82,0,0,0,0,19
0,-75,0,0,0,19
0,0,-76,-66,-66,19
0,0,-71,-61,-67,19
0,0,-81,0,0,19
0,0,0,-67,0,19
0,0,-81,-64,-62,19
0,0,0,0,-67,19
0,0,-90,0,0,19
0,0,0,0,-63,19
0,0,0,-84,0,19
0,-84,0,0,0,19
0,-81,0,0,0,19
0,0,-75,-67,-66,19
0,0,0,0,-70,19
0,0,0,-67,0,19
0,0,0,-63,0,19
0,0,-82,0,-66,19
-84,-85,0,0,0,19
0,0,0,-70,0,19
0,-75,0,0,0,19
0,0,-80,-73,0,19
0,0,-81,0,0,19
0,0,0,-66,0,19
0,0,-74,-59,0,19
0,-71,0,0,0,19
-79,0,0,0,0,19
0,0,-79,0,-67,19
-78,-78,0,0,0,19
0,-75,0,0,0,19
0,0,0,-68,0,19
0,0,0,0,-66,19
-77,-80,0,0,0,19
0,0,0,-68,-66,19
0,0,-77,-71,-77,19
0,0,-75,0,0,19
0,0,0,-68,-66,19
0,0,-80,-72,-68,19
-89,0,0,0,0,19
0,0,0,-70,0,19
0,0,-86,-71,0,19
0,0,-71,0,0,19
-84,-76,0,0,0,19
-78,0,0,0,0,19
0,0,0,-64,0,19
0,0,0,-66,0,19
-83,0,0,0,0,19
-80,-83,0,0,0,19
0,0,0,0,-73,19
0,0,0,0,-75,19
-78,0,0,0,0,19
0,0,0,-61,-69,19
0,0,-73,-67,-77,19
0,0,0,0,-71,19
0,-77,0,0,0,19
0,0,0,-73,-63,19
0,0,0,-66,-61,19
0,-84,0,0,0,19
0,0,0,-71,0,19
0,0,0,0,-59,19
-84,0,0,0,0,19
0,-79,0,0,0,19
0,0,0,0,-69,19
0,0,-73,0,-58,19
0,0,0,-65,0,19
0,0,-84,0,0,19
0,-77,0,0,0,19
0,-77,0,0,0,19
0,0,0,0,-68,19
-82,0,-75,0,0,19
-84,0,0,0,0,19
0,0,0,-63,0,19
0,0,0,-69,-67,19
0,0,-80,0,0,19
0,-84,0,0,0,19
0,0,-82,-73,-68,19
0,0,-72,0,0,19
0,-75,0,0,0,19
0,-82,0,0,0,19
0,0,0,0,-69,19
0,0,-81,0,0,19
0,0,-83,0,0,19
-79,0,0,0,0,19
0,0,0,0,-75,19
0,0,0,-59,-67,19
0,0,-71,0,0,19
0,-80,0,0,0,19
0,0,-75,0,-74,19
0,0,-76,0,0,19
0,-88,0,0,0,19
0,-80,0,0,0,19
0,0,0,0,-60,19
0,-80,-81,0,0,19
0,-82,0,0,0,19
-87,-87,-84,0,0,19
0,0,0,0,-68,19
0,0,-89,0,0,19
-87,0,0,0,0,19
0,-81,0,0,0,19
-85,0,-81,0,0,19
0,-78,0,0,0,19
0,0,0,-64,0,19
0,0,-74,0,0,19
-86,0,-78,0,0,19
0,0,0,-73,-81,19
0,0,0,0,-69,19
-91,0,-85,0,0,19
-78,0,0,0,0,19
-79,0,-85,0,0,19
0,-83,0,0,0,19
0,0,0,-66,-70,19
-81,0,-76,-74,0,19
0,-72,0,0,0,19
0,-86,0,0,0,19
0,-91,0,0,0,19
0,0,0,-79,-69,19
-95,0,-74,0,0,19
0,-79,0,0,0,19
0,0,0,0,-63,19
0,0,0,-70,0,19
0,0,-80,0,0,19
0,-82,-82,0,0,19
0,0,0,0,-64,19
-86,0,-80,0,0,19
0,-78,0,0,0,19
0,0,0,-73,0,19
0,0,0,0,-66,19
0,0,0,-66,0,19
0,0,0,-72,-73,19
0,0,0,-68,-66,19
0,0,0,-72,-65,19
-89,0,-88,0,0,19
0,-79,0,0,0,19
0,0,0,0,-66,19
0,0,-85,0,0,19
0,-79,0,0,0,19
0,0,0,0,-65,19
-84,0,0,0,0,19
0,-90,0,0,0,19
0,0,0,-70,0,19
0,0,0,-81,-73,19
0,0,-81,0,0,19
0,0,0,-86,-76,19
0,0,-84,0,0,19
0,-80,0,0,0,19
-85,0,0,0,0,19
0,0,0,0,-67,19
-93,0,0,0,0,19
0,-83,-79,0,0,19
0,0,0,0,-63,19
0,0,0,0,-74,19
-88,0,-80,0,0,19
0,0,0,-76,0,19
0,0,0,-72,0,19
0,-71,0,0,0,19
0,0,0,0,-61,19
0,0,0,0,-61,19
0,0,-75,0,0,19
0,-80,0,0,0,19
0,0,0,-67,-69,19
0,0,0,-64,-66,19
0,0,-72,0,0,19
0,0,0,-75,0,19
0,0,-75,-64,0,19
-78,0,-77,0,0,19
0,-80,0,0,0,19
0,0,0,-60,-64,19
-79,0,-73,0,0,19
0,-78,-76,0,0,19
0,0,0,-63,0,19
0,0,-82,-62,0,19
-78,0,-71,0,0,19
0,-82,0,0,0,19
0,0,0,-63,-64,19
0,0,0,-68,-69,19
-80,-75,-80,0,0,19
0,0,0,-68,-76,19
0,0,0,-82,0,19
0,0,0,0,-71,19
0,0,-71,0,0,19
0,0,0,0,-68,19
0,0,-74,0,0,19
0,0,0,-59,-67,19
0,0,0,-66,0,19
0,0,-75,0,0,19
0,0,0,-75,-74,19
0,0,-83,0,0,19
0,0,0,0,-65,19
0,0,-69,0,0,19
0,0,0,-80,0,19
0,-79,0,0,0,19
0,0,0,-66,0,19
0,0,-69,-61,-71,19
0,0,-77,0,0,19
0,-84,0,0,0,19
0,0,0,-69,0,19
0,0,0,0,-75,19
0,0,-70,0,-70,19
0,0,-73,0,0,19
0,0,0,-66,0,19
0,0,-73,-59,0,19
0,0,-79,0,0,19
-82,-76,0,0,0,19
0,0,0,-70,-62,19
0,0,-71,-70,-78,19
-86,-79,0,0,0,19
0,0,0,0,-61,19
-89,0,-73,0,0,19
0,-79,0,0,0,19
0,0,0,0,-61,19
0,0,-82,-66,-77,19
0,0,-77,0,0,19
0,0,0,-71,-68,19
-78,0,-77,-61,0,19
0,-72,0,0,0,19
0,0,0,-58,-71,19
0,-78,-69,0,-75,19
-84,-80,0,0,0,19
0,0,0,-76,-73,19
0,0,0,-60,-62,19
-84,-71,0,0,0,19
-80,-81,0,0,0,19
0,0,0,-65,0,19
-86,0,0,0,-72,19
-79,-78,0,0,0,19
0,0,0,0,-73,19
-79,0,0,0,-65,19
0,0,0,-63,-69,19
0,0,0,0,-66,19
0,0,-80,0,0,19
0,-76,0,0,0,19
0,-79,0,0,0,19
0,0,-75,0,0,19
0,-79,0,-67,0,19
0,0,-70,0,0,19
0,0,0,0,-66,19
-86,-81,0,0,0,19
-83,-94,-80,0,0,19
0,0,0,-69,0,19
0,0,0,0,-67,19
0,0,0,-69,0,19
0,-85,0,0,0,19
0,0,0,-68,0,19
0,0,0,-69,-67,19
