B1,B2,B3,B4,B5,Zone
0,0,-81,0,0,24
0,0,0,-73,-61,24
0,-81,0,0,0,24
0,-83,0,0,0,24
-87,0,-81,0,0,24
0,0,0,-75,0,24
0,-83,0,0,0,24
0,0,0,-78,0,24
0,0,-91,0,0,24
0,0,-84,0,0,24
0,0,0,0,-61,24
-84,0,0,0,0,24
0,0,0,-72,-38,24
0,0,0,-70,0,24
0,-92,0,0,0,24
0,0,0,-72,0,24
0,-86,0,0,0,24
0,-81,0,0,0,24
0,0,0,0,-67,24
0,0,0,0,-65,24
0,0,-86,0,0,24
0,0,0,-71,-38,24
0,0,0,-84,0,24
0,0,-90,0,0,24
0,-82,0,0,0,24
-84,0,-84,0,0,24
0,0,0,0,-66,24
0,0,0,-81,0,24
0,0,0,-75,0,24
0,-85,0,0,0,24
-86,0,-83,0,0,24
0,0,0,0,-62,24
-91,0,-82,0,0,24
0,0,0,-75,-44,24
0,-92,0,0,0,24
0,0,0,-81,0,24
0,-87,0,0,0,24
0,0,0,0,-66,24
0,0,-80,0,0,24
0,0,0,-78,0,24
0,0,0,-81,0,24
0,-80,0,0,0,24
0,-79,0,0,0,24
0,-88,0,0,0,24
-87,0,-81,0,0,24
0,0,0,0,-65,24
0,0,0,-78,0,24
0,-85,0,0,0,24
0,0,0,0,-60,24
0,-81,0,0,0,24
0,-81,-89,0,0,24
-83,0,0,0,0,24
0,0,0,0,-66,24
0,0,0,-76,0,24
0,0,0,-83,0,24
0,0,0,0,-69,24
0,0,0,-84,0,24
0,0,0,0,-56,24
-89,0,0,0,0,24
0,0,0,0,-70,24
0,0,-83,-74,0,24
0,-91,0,0,0,24
-92,0,0,0,0,24
0,-82,0,0,0,24
0,0,0,0,-58,24
0,0,0,0,-62,24
0,-81,0,0,0,24
0,0,0,0,-56,24
0,0,0,-83,0,24
0,0,0,0,-60,24
0,-82,0,0,0,24
0,-86,0,0,0,24
0,0,0,0,-64,24
0,0,0,0,-67,24
0,0,0,0,-62,24
-80,0,0,0,0,24
0,-78,0,0,0,24
0,0,-80,-82,0,24
0,0,-79,0,0,24
-89,0,-77,-75,0,24
0,0,0,0,-65,24
-80,0,0,0,0,24
0,0,0,0,-54,24
-78,0,0,0,0,24
0,-79,-79,0,0,24
0,-85,0,-70,0,24
-75,0,0,-69,0,24
0,0,0,0,-70,24
-80,0,0,0,0,24
-82,0,0,0,0,24
0,0,0,-64,0,24
-79,0,-77,-72,0,24
0,0,0,0,-66,24
0,0,0,-70,0,24
0,0,0,0,-57,24
-80,0,0,0,0,24
0,0,0,0,-59,24
0,-77,0,0,0,24
0,-80,0,-71,0,24
0,0,0,0,-54,24
0,0,0,0,-57,24
-81,0,0,-75,0,24
0,0,0,0,-59,24
0,0,0,0,-58,24
0,-83,0,0,0,24
0,-77,-78,0,0,24
0,-82,-85,-71,0,24
0,0,0,0,-58,24
0,0,0,0,-58,24
0,0,0,-64,0,24
0,0,0,0,-63,24
-87,0,-82,0,0,24
-79,0,0,0,0,24
0,0,0,0,-54,24
0,-81,0,-81,0,24
-79,-78,-81,0,0,24
0,0,0,0,-57,24
0,0,-83,-68,0,24
0,0,0,0,-59,24
-90,0,-80,-82,0,24
0,0,0,0,-60,24
0,-83,0,0,0,24
0,-80,0,-68,0,24
-91,-81,0,-81,0,24
-80,0,-85,-45,0,24
0,0,0,0,-65,24
-83,0,-88,0,0,24
0,0,-81,0,0,24
0,0,-84,0,0,24
0,0,0,0,-67,24
0,0,-80,0,0,24
0,0,0,-71,0,24
0,0,0,0,-62,24
0,0,0,0,-71,24
0,-80,0,0,0,24
0,0,0,0,-68,24
0,0,-81,-70,0,24
0,0,0,0,-60,24
0,0,0,0,-60,24
0,-78,0,0,0,24
0,-86,0,-80,0,24
0,0,0,-73,0,24
0,0,0,0,-62,24
-81,0,0,0,0,24
0,0,0,0,-62,24
0,-80,0,0,0,24
-83,0,0,0,0,24
-88,0,-82,-80,0,24
0,0,0,0,-64,24
0,0,0,-71,0,24
0,0,0,-86,0,24
0,0,0,0,-64,24
0,0,-84,0,0,24
0,-91,-87,0,0,24
0,0,0,0,-66,24
0,0,0,0,-62,24
0,-80,0,0,0,24
0,0,0,0,-68,24
0,0,-89,-80,0,24
0,0,0,0,-59,24
-91,0,0,0,0,24
0,0,0,0,-63,24
0,-91,0,0,0,24
0,0,0,-78,0,24
0,0,0,0,-57,24
0,0,0,-76,0,24
0,-81,0,0,0,24
0,0,0,0,-62,24
0,0,0,-79,0,24
0,0,0,0,-69,24
0,-89,0,0,0,24
0,-91,0,-79,0,24
0,0,0,0,-64,24
0,0,0,-78,0,24
0,0,0,0,-67,24
0,0,-87,0,0,24
0,0,0,-82,0,24
0,0,0,0,-74,24
-93,0,0,0,0,24
0,0,0,0,-63,24
0,0,0,0,-69,24
0,0,0,-80,0,24
0,0,-89,0,0,24
0,0,0,-81,0,24
0,0,0,0,-66,24
0,-92,0,0,0,24
0,-88,-86,-73,0,24
0,0,0,0,-65,24
0,0,-84,-84,0,24
0,0,0,0,-66,24
0,0,-84,0,0,24
0,-91,0,0,0,24
-80,0,0,0,0,24
0,-77,-81,0,0,24
0,0,0,0,-63,24
0,0,-84,-90,0,24
0,0,-82,0,0,24
0,-77,0,0,0,24
-86,-93,0,-78,0,24
0,0,0,-78,0,24
0,0,0,0,-67,24
0,0,-82,0,0,24
0,-81,0,0,0,24
0,-80,-88,-76,0,24
0,0,-80,-73,0,24
0,0,0,0,-63,24
0,0,0,-73,0,24
0,-81,0,0,0,24
-91,-90,0,0,0,24
0,-84,0,0,0,24
0,0,-86,-75,0,24
0,0,0,0,-55,24
0,0,0,0,-60,24
0,0,0,0,-46,24
0,-81,0,0,0,24
0,0,-79,-71,0,24
-82,0,0,-69,0,24
-89,0,-76,-71,0,24
0,0,0,0,-64,24
0,0,0,0,-60,24
0,-78,0,0,0,24
0,-74,0,0,0,24
-74,0,-80,0,0,24
-82,0,0,0,0,24
0,0,0,0,-55,24
0,0,-78,0,0,24
0,0,0,0,-52,24
0,-75,0,0,0,24
0,0,0,0,-38,24
-78,-79,0,-72,0,24
-83,0,-79,-68,0,24
0,0,-84,0,0,24
0,-75,0,0,0,24
0,-79,0,0,0,24
-86,0,0,0,0,24
-83,0,-79,-72,0,24
0,0,0,0,-58,24
0,0,-85,-44,0,24
0,0,0,0,-57,24
0,0,0,0,-58,24
0,0,0,-70,0,24
0,-78,0,0,0,24
-86,0,-85,-71,0,24
0,0,0,-71,0,24
0,0,0,0,-60,24
0,0,0,0,-56,24
0,-86,0,0,0,24
0,-75,0,0,0,24
0,0,-80,0,0,24
-85,0,0,0,0,24
0,0,0,-71,0,24
0,0,0,0,-70,24
0,0,0,0,-56,24
0,0,0,0,-61,24
0,-80,0,0,0,24
-81,-82,0,-70,0,24
0,0,-82,0,0,24
0,0,0,0,-57,24
0,0,0,0,-63,24
0,-80,0,0,-36,24
0,0,0,-72,0,24
0,-82,-78,0,0,24
0,0,-87,-77,0,24
0,0,0,0,-60,24
0,0,0,0,-55,24
0,-79,0,-74,0,24
0,-79,-80,-73,0,24
-81,0,-89,0,0,24
0,0,-84,0,0,24
0,0,0,0,-58,24
0,0,0,0,-70,24
0,-92,0,0,-39,24
0,-83,0,0,0,24
0,0,0,-72,0,24
0,0,0,0,-68,24
0,0,0,0,-67,24
0,0,0,-86,0,24
0,-85,-86,-76,0,24
0,0,0,0,-64,24
0,-88,0,0,0,24
-86,0,0,0,0,24
-89,0,-93,-81,0,24
0,0,0,0,-61,24
0,0,0,0,-65,24
0,0,0,0,-64,24
-88,-82,0,0,0,24
0,-87,0,-84,0,24
0,0,-85,0,0,24
